#ST-Typ;Wert;Beschreibung
ST_Abgangsgrund;43;Aufgrund einer Änderung entsteht rechtlich ein neuer Vertrag.
ST_Abgangsgrund;99;sonstige Stornogruende
ST_Abrechnungsart;01;Vermittlerabrechnung Gesamtbeitrag (Der Vermittler zieht den Beitrag ein und überweist ohne Abzug der Provision an den Produktgeber)
ST_Abrechnungsart;02;Vermittlerabrechnung Abrechnungsbetrag (Der Vermittler zieht den Beitrag ein und überweist abzüglich der Provision an den Produktgeber)
ST_Abrechnungsart;03;Abrechnung In der Abrechnung sind die Posten des Abrechnenden enthalten, die entweder zu einer Forderung oder einer Verbindlichkeit gegenüber dem Abrechnungsempfänger führen und in deren Folge in der Regel eine Finanztransaktion steht. In der Regel werden Abrechnungen turnusmäßig erstellt.
ST_Abrechnungsart;04;Buchungsnote Die Buchungsnote informiert den Abrechnungsempfänger über die beim Abrechnenden getätigten Buchungen des Abrechnenden (in der Regel Provisionen und Kostenübernahmen, bei Vermittlerinkasso auch Beiträge und ggf. Schadenzahlungen) seit der vorherigen Buchungsnote, die noch nicht abgerechnet wurden. In Abgrenzung zur Abrechnung folgt der Buchungsnote keine Finanztransaktion.
ST_Abrechnungsart;05;Kontoauszug Der Kontoauszug enthält aus Sicht des Abrechnenden ausschließlich Abrechnungsposten für ein benanntes Konto der Versicherungsnebenbuchhaltung und einen benannten Zeitraum (ggf. eingeschränkt auf bestimmte Postenarten). Darin können sowohl bereits abgerechnete, sowie noch nicht abgerechnete Posten enthalten sein.
ST_Abrechnungsart;06;OP-Liste Die OP-Liste enthält nur Abrechnungsposten die aus Sicht des Abrechnenden seitens des Abrechnungsempfängers noch zu begleichen sind, in der Regel ist die vertraglich vereinbarte Frist für die Abrechnung überschritten.
ST_Abrechnungspostenart;01;Brutto-Beitrag
ST_Abrechnungspostenart;02;Beitrag (ohne Versicherungssteuer)
ST_Abrechnungspostenart;03;Versicherungssteuer
ST_Abrechnungspostenart;04;Umsatzsteuer
ST_Abrechnungspostenart;05;Auslandssteuer
ST_Abrechnungspostenart;06;Courtage/Provision
ST_Abrechnungspostenart;07;Führungsprovision
ST_Abrechnungspostenart;08;Assekuradeursprovision (Provisionsteilung)
ST_Abrechnungspostenart;09;Vorschuss/Nachschuss
ST_Abrechnungspostenart;10;Zahlungsverkehrsbuchung/Finanzbuchungen
ST_Abrechnungspostenart;11;Abschlag/Zuschlag (ob Abschlag oder Zuschlag ergibt sich aus dem Vorzeichen der Betrages sowie aus dem Abrechnendem)
ST_Abrechnungspostenart;12;Vorauszahlung/Nachzahlung (vertragsbezogen)
ST_Abrechnungspostenart;13;Berechnete Kosten oder Erstattungen z.B. PC-Mieten Gutachterkosten
ST_Abrechnungspostenart;14;Bonifikationen und Wettbewerbe
ST_Abrechnungspostenart;15;Gewinnbeteiligung
ST_Abrechnungspostenart;16;Vertragsunabhängige Vergütung
ST_Abrechnungspostenart;17;Zuschuss
ST_Abrechnungspostenart;18;Pauschale
ST_Abrechnungspostenart;19;Garantie
ST_Abrechnungspostenart;20;Stornoreserve
ST_Abrechnungspostenart;21;Ablösesumme/Provisionsausgleich
ST_Abrechnungspostenart;22;Darlehen/Kredit
ST_Abrechnungspostenart;23;Zinsen
ST_Abrechnungspostenart;24;Bürgschaften
ST_Abrechnungspostenart;25;Schadenzahlung
ST_Abrechnungspostenart;26;Schaden-Kulanzzahlung
ST_Abrechnungspostenart;27;Schaden-Regresszahlung
ST_Abrechnungspostenart;28;Vergütung aus Dienstleistung
ST_Abrechnungspostenart;29;Gebühren
ST_Abrechnungspostenart;30;Rabatt/Skonto
ST_Abrechnungspostenart;31;Strafzuschlag (Krankenversicherung)
ST_Abrechnungspostenart;32;Saldo (technische Postenart für übergreifende Salden)
ST_Abrechnungspostenart;99;Sonderfall - Nicht klassifizierbarer Sonderfall
ST_Abschlussmodell;Antragsmodell;Der VN muss rechtzeitig vor Vertragsabschluss umfangreich über die vertraglichen Bestimmungen informiert werden. Es müssen alle relevanten Vertragsinformationen inkl. AVB, Produkt- und Verbraucherinformationen vorliegen.
ST_Abschlussmodell;AntragsmodellMitStellvertreter;
ST_Abschlussmodell;Invitatiomodell;VN fordert VU zur Abgabe eines verbindlichen Angebotes inkl. der vertraglichen Bestimmungen auf. Ein Vertrag kommt erst mit Unterzeichnung des Angebotes zustande.
ST_Abschlussmodell;InvitatiomodellMitStellvertreter;
ST_Abstellort;01;Straße
ST_Abstellort;02;Stellplatz
ST_Abstellort;03;Tiefgarage
ST_Abstellort;04;Einzelgarage
ST_Abstellort;05;Parkhaus
ST_Abstellort;06;Hofraum
ST_Abstellort;07;unbewachter Parkplatz
ST_Abstellort;08;bewachter Parkplatz
ST_Adresstyp;geschaeftlich;Bei der Adresse handelt es sich um eine geschaeftliche Adresse
ST_Adresstyp;privat;Bei der Adresse handelt es sich um eine private Adresse
ST_AnderweitigerVersicherungsschutz;1;Es besteht kein anderweitiger Versicherungsschutz
ST_AnderweitigerVersicherungsschutz;2;Es besteht ein anderweitiger Versicherungsschutz
ST_AnderweitigerVersicherungsschutz;3;Es besteht ein anderweitiger Versicherungsschutz durch den Versicherungsnehmer
ST_AnderweitigerVersicherungsschutz;4;Es besteht ein anderweitiger Versicherungsschutz durch den Eigentümer
ST_AnderweitigerVersicherungsschutz;5;Es besteht ein anderweitiger Versicherungsschutz durch den Vermieter
ST_Anredeschluessel;0;ohne Anrede
ST_Anredeschluessel;1;Herr
ST_Anredeschluessel;2;Frau
ST_Anredeschluessel;3;Firma
ST_Anredeschluessel;4;Herr und Frau
ST_Anredeschluessel;5;Fraeulein
ST_Anschriftart;1;Strassenadresse
ST_Anschriftart;2;Postfachadresse
ST_Anschriftart;3;Grosskundenadresse
ST_AnspruchErhoben;0;nein
ST_AnspruchErhoben;1;ja, mündlich
ST_AnspruchErhoben;2;ja, schriftlich
ST_Anstossbereich;01;vorn Mitte
ST_Anstossbereich;02;vorn rechts
ST_Anstossbereich;03;rechte Seite Mitte
ST_Anstossbereich;04;hinten rechts
ST_Anstossbereich;05;hinten Mitte
ST_Anstossbereich;06;hinten links
ST_Anstossbereich;07;linke Seite Mitte
ST_Anstossbereich;08;vorn links
ST_Anstossbereich;09;Dach
ST_Anstossbereich;10;Boden
ST_Anstossbereich;11;rundum
ST_Antragsart;01;Neuantrag
ST_Antragsart;02;Ersatzantrag
ST_Antragsart;03;Versichererwechsel
ST_Antragsart;04;Umstellungsantrag / Tarifwechsel
ST_Antragsart;05;Fahrzeugwechsel
ST_Antragsart;06;Überführung in eine andere Schicht. (Schicht 1 = Basisversorgung (z.B. Rürup-Rente), Schicht 2 = kapitalgedeckte Zusatzversorgung (bAV, Riester-Rente), Schicht 3 = Kapitalanlage (z.B. private Rentenversicherung))
ST_Antragsstatus;1;in Bearbeitung (Das vertragsführende Unternehmen bearbeitet den Antrag.)
ST_Antragsstatus;2;dokumentiert (Das vertragsführende Unternehmen hat den Antrag dokumentiert.)
ST_Antragsstatus;3;abgelehnt (Das vertragsführende Unternehmen hat den Antrag abgelehnt.)
ST_Antragsstatus;4;Warten auf Information (Das vertragsführende Unternehmen wartet auf eine Information vom Antragsteller oder Vermittler, um den Antrag weiter bearbeiten zu können.)
ST_Antragsstatus;5;geparkt zur späteren Bearbeitung/Neuprüfung (Das vertragsführende Unternehmen hat den Antrag geparkt. Der Antrag wird später erneut geprüft und bearbeitet.)
ST_Antragsstatus;6;widerrufen (Der Antragsteller hat den Antrag widerrufen.)
ST_Antragsstatus;7;angenommen, wartet auf Dokumentierung (Das vertragsführende Unternehmen hat die Bearbeitung abgeschlossen und den Antrag angenommen. Die Dokumentierung erfolgt zu gegebener Zeit.)
ST_Anwartschaft;0;keine Anwartschaft
ST_Anwartschaft;1;kleine Anwartschaft
ST_Anwartschaft;2;grosse Anwartschaft
ST_Anwartschaftsgrund;01;Arbeitslosigkeit
ST_Anwartschaftsgrund;02;GKV-Übertritt
ST_Anwartschaftsgrund;03;Freie Heilfürsorge
ST_Anwartschaftsgrund;04;Kleine Anwartschaft
ST_Anwartschaftsgrund;05;Wirtschaftliche Notlage
ST_Anwartschaftsgrund;06;Pflichtversicherung
ST_Anwartschaftsgrund;07;Soldat/Zivildienst
ST_Anwartschaftsgrund;08;Auslandsaufenthalt
ST_Anwartschaftsgrund;09;Zahlungsunfähigkeit
ST_Anwartschaftsgrund;10;Familienversicherung
ST_Anwartschaftsgrund;11;Ausbildung/Studium
ST_Anwartschaftsgrund;99;Sonstige Gründe
ST_ArtDerBeratung;00;keine Angabe
ST_ArtDerBeratung;01;persönliches Gespräch
ST_ArtDerBeratung;02;telefonisch
ST_ArtDerBeratung;03;per Fax
ST_ArtDerBeratung;04;per E-Mail
ST_ArtDerBeratung;05;postalisch / per Brief
ST_ArtDerBeratung;06;per Internet
ST_ArtDerBeratung;07;ohne Beratung
ST_ArtDerLieferung;1001;UC-1 Vertrag
ST_ArtDerLieferung;1002;UC-2 Vertrag
ST_ArtDerLieferung;1003;UC-3 Vertrag
ST_ArtDerLieferung;1004;UC-4 Vertrag
ST_ArtDerLieferung;1005;UC-5 Vertrag
ST_ArtDerLieferung;1006;UC-6 Vertrag
ST_ArtDerLieferung;1103;UC-3 Vertrag + Inkasso
ST_ArtDerLieferung;1104;UC-4 Vertrag + Inkasso
ST_ArtDerLieferung;1105;UC-5 Vertrag + Inkasso
ST_ArtDerLieferung;1203;UC-3 nur Inkasso
ST_ArtDerLieferung;1204;UC-4 nur Inkasso
ST_ArtDerLieferung;1205;UC-5 nur Inkasso
ST_ArtDerLieferung;1303;UC-3 Prämienabrechnung
ST_ArtDerLieferung;1304;UC-4 Prämienabrechnung
ST_ArtDerLieferung;1305;UC-5 Prämienabrechnung
ST_ArtDerLieferung;2001;UC-1 Schaden mit kumulierten Schadenbeträgen
ST_ArtDerLieferung;2002;UC-2 Schaden mit kumulierten Schadenbeträgen
ST_ArtDerLieferung;2101;UC-1 Schaden mit einzelnen Regulierungen
ST_ArtDerLieferung;2102;UC-2 Schaden mit einzelnen Regulierungen
ST_ArtDerLieferung;2104;UC-4 Schaden
ST_ArtDerLieferung;2105;UC-5 Schaden
ST_ArtDerLieferung;2106;UC-6 Schaden
ST_ArtDerLieferung;2304;UC-4 Schadenabrechnung
ST_ArtDerLieferung;2305;UC-5 Schadenabrechnung
ST_ArtDerLieferung;2401;VA Abrechnung
ST_ArtDerLieferung;2402;VA Klärungsanfrage
ST_ArtDerLieferung;2403;VA Klärungsantwort
ST_ArtDerLieferung;2404;VA Abrechnung anfordern
ST_ArtDerSicherung;01;Fahrradschloss
ST_ArtDerSicherung;02;Behältnis
ST_ArtDerSicherung;03;Raum
ST_ArtDerSicherung;04;Behältnis in Tresor / Schrank
ST_ArtDerSicherung;05;in verschlossenem Kfz
ST_ArtDerSicherung;06;in verschlossenem Kfz in Tief- oder Einzelgarage
ST_ArtDerUmsatzbesteuerung;1;Regelbesteuert
ST_ArtDerUmsatzbesteuerung;2;Differenzbesteuert
ST_ArtDerUmsatzbesteuerung;3;Privatmarkt
ST_ArtDerUnverfallbarkeit;gesetzlich;Gesetzliche Unverfallbarkeit.
ST_ArtDerUnverfallbarkeit;vertraglich;Vertragliche Unverfallbarkeit.
ST_ArtDerVorlaeufigenDeckung;1;Ablauf mit Vorlage der Police
ST_ArtDerVorlaeufigenDeckung;2;Ablauf gemaess Feld "Ablauf der Vorlaeufigen Deckung"
ST_ArtDerZulassung;01;Tageszulassung
ST_ArtDerZulassung;02;Werkszulassung
ST_ArtDerZulassung;03;Sonstige
ST_ArtDesVorhabens;01;Neubau
ST_ArtDesVorhabens;02;Umbau mit Eingriff in tragende Konstruktion
ST_ArtDesVorhabens;03;Umbau ohne Eingriff in tragende Konstruktion
ST_ArtDesVorhabens;04;Anbau
ST_ArtDesVorhabens;05;Aufstockung
ST_ArtDesVorhabens;06;Tief- oder Ingenieursbau
ST_ArtDesVorhabens;07;mit Tiefgaragen
ST_ArtDesVorhabens;08;mit Garagen
ST_ArtDesVorhabens;09;mit Erdwärmenutzung mittels Kollektoren
ST_ArtDesVorhabens;10;mit Erdwärmenutzung mittels Erdsonde bis 100m
ST_ArtDesVorhabens;11;mit Erdwärmenutzung mittels Erdsonde bis 400m
ST_ArtDesVorhabens;12;Neumontage
ST_ArtDesVorhabens;13;Demontage
ST_ArtDesVorhabens;14;De- und Remontage
ST_ArtDesVorhabens;15;Montage und Demontage
ST_ArtDesVorhabens;16;Reparaturen und Umbauten
ST_ArtDesVorwurfs;1;Vergehen
ST_ArtDesVorwurfs;2;Verbrechen
ST_ArtDesVorwurfs;9;Sonstiges
ST_ArtTechnischeAnlage;1;Lichtanlage
ST_ArtTechnischeAnlage;2;Kraftanlage
ST_ArtVerkehrsrechtsschutz;Fahrer;
ST_ArtVerkehrsrechtsschutz;Fahrzeug;
ST_ArtVerkehrsrechtsschutz;Verkehr;
ST_ArtVermoegenswirksameLeistung;AVWL;Altersvorsorgewirksame Leistung
ST_ArtVermoegenswirksameLeistung;VWL;Vermögenswirksame Leistung
ST_ArtVPBeruecksichtigung;0;Keine besondere Beruecksichtigung
ST_ArtVPBeruecksichtigung;1;Arzt-Kind
ST_ArtVPBeruecksichtigung;2;Arzt-Ehegatte
ST_ArtVPBeruecksichtigung;3;Beamten-Kind
ST_ArtVPBeruecksichtigung;4;Beamten-Ehegatte
ST_ArtWohnungseigentuemergemeinschaft;1;Sondereigentum
ST_ArtWohnungseigentuemergemeinschaft;2;Gemeinschaftseigentum
ST_Aufbewahrungsart;001;Wertschrank C1F
ST_Aufbewahrungsart;002;Wertschrank C2F
ST_Aufbewahrungsart;003;Eingemauerter Stahlschrank mit mehrwandiger Tür
ST_Aufbewahrungsart;004;Mehrwandiger Stahlschrank
ST_Aufbewahrungsart;005;Mehrwandiger Stahlschrank, mindestens 300 kg
ST_Aufbewahrungsart;006;Panzer-Geldschrank/gepanzerter Geldschrank
ST_Aufbewahrungsart;007;Panzer-Geldschrank D1
ST_Aufbewahrungsart;008;Panzer-Geldschrank D2
ST_Aufbewahrungsart;009;Panzer-Geldschrank E
ST_Aufbewahrungsart;010;Panzer-Geldschrank D10
ST_Aufbewahrungsart;011;Panzer-Geldschrank D20
ST_Aufbewahrungsart;012;Panzer-Geldschrank E10
ST_Aufbewahrungsart;013;Einbauschrank (Wertschrank) Widerstandsgrad 0
ST_Aufbewahrungsart;014;Einbauschrank (Wertschrank) Widerstandsgrad N
ST_Aufbewahrungsart;015;Einbauschrank (Wertschrank) Widerstandsgrad I (1)
ST_Aufbewahrungsart;016;Einbauschrank (Wertschrank) Widerstandsgrad II (2)
ST_Aufbewahrungsart;017;Einbauschrank (Wertschrank) Widerstandsgrad III (3)
ST_Aufbewahrungsart;020;Tresorraum KT (Kleintresorraum)
ST_Aufbewahrungsart;021;Tresorraum LT0
ST_Aufbewahrungsart;022;Tresorraum LT0 mit Kernbohrschutz
ST_Aufbewahrungsart;023;Tresorraum T1
ST_Aufbewahrungsart;024;Tresorraum T1 mit Kernbohrschutz
ST_Aufbewahrungsart;025;Tresorraum T2
ST_Aufbewahrungsart;026;Tresorraum T2 mit Kernbohrschutz
ST_Aufbewahrungsart;027;Tresorraum LT1
ST_Aufbewahrungsart;028;Tresorraum LT1 mit Kernbohrschutz
ST_Aufbewahrungsart;029;Tresorraum T10
ST_Aufbewahrungsart;030;Tresorraum T10 mit Kernbohrschutz
ST_Aufbewahrungsart;031;Tresorraum T20
ST_Aufbewahrungsart;032;Tresorraum T20 mit Kernbohrschutz
ST_Aufbewahrungsart;033;Tresorraum alter Bauart
ST_Aufbewahrungsart;034;Wertschutzschrank Widerstandsgrad N
ST_Aufbewahrungsart;035;Wertschutzschrank Widerstandsgrad 0
ST_Aufbewahrungsart;036;Wertschutzschrank Widerstandsgrad I
ST_Aufbewahrungsart;037;Wertschutzschrank Widerstandsgrad II
ST_Aufbewahrungsart;038;Wertschutzschrank Widerstandsgrad III
ST_Aufbewahrungsart;039;Wertschutzschrank Widerstandsgrad IV
ST_Aufbewahrungsart;040;Wertschutzschrank Widerstandsgrad IV mit CD
ST_Aufbewahrungsart;041;Wertschutzschrank Widerstandsgrad V
ST_Aufbewahrungsart;042;Wertschutzschrank Widerstandsgrad V mit CD
ST_Aufbewahrungsart;043;Wertschutzschrank Widerstandsgrad VI
ST_Aufbewahrungsart;044;Wertschutzschrank Widerstandsgrad VI mit CD
ST_Aufbewahrungsart;045;Wertschutzschrank Widerstandsgrad VII
ST_Aufbewahrungsart;046;Wertschutzschrank Widerstandsgrad VII mit CD
ST_Aufbewahrungsart;047;Wertschutzschrank Widerstandsgrad VIII
ST_Aufbewahrungsart;048;Wertschutzschrank Widerstandsgrad VIII mit CD
ST_Aufbewahrungsart;049;Wertschutzschrank Widerstandsgrad IX
ST_Aufbewahrungsart;050;Wertschutzschrank Widerstandsgrad IX mit CD
ST_Aufbewahrungsart;051;Wertschutzschrank Widerstandsgrad X
ST_Aufbewahrungsart;052;Wertschutzschrank Widerstandsgrad X mit CD
ST_Aufbewahrungsart;054;Wertschutzraum Widerstandsgrad N
ST_Aufbewahrungsart;055;Wertschutzraum Widerstandsgrad I
ST_Aufbewahrungsart;056;Wertschutzraum Widerstandsgrad II
ST_Aufbewahrungsart;057;Wertschutzraum Widerstandsgrad III
ST_Aufbewahrungsart;058;Wertschutzraum Widerstandsgrad IV
ST_Aufbewahrungsart;059;Wertschutzraum Widerstandsgrad V
ST_Aufbewahrungsart;060;Wertschutzraum Widerstandsgrad VI
ST_Aufbewahrungsart;061;Wertschutzraum Widerstandsgrad VII
ST_Aufbewahrungsart;062;Wertschutzraum Widerstandsgrad VIII
ST_Aufbewahrungsart;063;Wertschutzraum Widerstandsgrad VIII mit CD
ST_Aufbewahrungsart;064;Wertschutzraum Widerstandsgrad IX
ST_Aufbewahrungsart;065;Wertschutzraum Widerstandsgrad IX mit CD
ST_Aufbewahrungsart;066;Wertschutzraum Widerstandsgrad X
ST_Aufbewahrungsart;067;Wertschutzraum Widerstandsgrad X mit CD
ST_Aufbewahrungsart;068;Wertschutzraum Widerstandsgrad XI
ST_Aufbewahrungsart;069;Wertschutzraum Widerstandsgrad XI mit CD
ST_Aufbewahrungsart;070;Wertschutzraum Widerstandsgrad XII
ST_Aufbewahrungsart;071;Wertschutzraum Widerstandsgrad XII mit CD
ST_Aufbewahrungsart;072;Wertschutzraum Widerstandsgrad XIII
ST_Aufbewahrungsart;073;Wertschutzraum Widerstandsgrad XIII mit CD
ST_Aufbewahrungsart;075;Panzerraum nach RAL-RG 625/5
ST_Aufbewahrungsart;076;Geldschrankeinheit RAL-RG 626/3 Geldausgabeautomat
ST_Aufbewahrungsart;077;unter Verschluss in Behältnissen mit erhöhter Sicherheit
ST_Aufbewahrungsart;078;unter anderem Verschluss
ST_Aufbewahrungsart;079;ohne Verschluss / offen in den Versicherungsräumen
ST_Aufbewahrungsart;080;in verschlossenen und unverschlossen Behältnissen
ST_Aufbewahrungsart;081;in Wertbehältnis
ST_Aufbewahrungsart;082;im Freien auf dem Grundstück ohne Zelte / Pavillons
ST_Aufbewahrungsart;083;in Zelten / Pavillons
ST_Aufbewahrungsart;084;in verschlossenen Bauwagen auf dem versicherten Grundstück
ST_Aufbewahrungsart;085;in Containern auf dem versicherten Grundstück
ST_Aufbewahrungsart;086;in Rohbauten
ST_Aufbewahrungsart;087;unter Erdgleiche unterhalb der vorgeschriebenen Mindestlagerhöhe von 12 cm
ST_Aufbewahrungsart;088;in Arzttaschen u -koffern
ST_Auftraggeber;01;Bauherr privat
ST_Auftraggeber;02;Bauherr gewerblich
ST_Auftraggeber;03;Architekt
ST_Auftraggeber;04;Bauträger
ST_Auftraggeber;05;Generalunternehmer
ST_Auftraggeber;06;Besteller
ST_Auftraggeber;07;Hersteller
ST_Auftraggeber;08;Montagefirma
ST_Aufwandsart;01;Versicherungsleistung
ST_Aufwandsart;02;Zinsen
ST_Aufwandsart;03;Rentenzahlung
ST_Aufwandsart;04;Regress
ST_Aufwandsart;05;Rückzahlung aus Kfz-Schaden
ST_Aufwandsart;06;Verkaufserlös
ST_Aufwandsart;07;Kulanzzahlung
ST_Aufwandsart;99;Sonstiges
ST_Ausfallvereinbarung;01;Keine Ausfallleistung
ST_Ausfallvereinbarung;02;Mietwagen
ST_Ausfallvereinbarung;03;Nutzungsausfall
ST_Ausfallvereinbarung;04;Mietwagen und Nutzungsausfall
ST_Ausfallvereinbarung;05;Vorhaltekosten
ST_AusloeserDesGeschaeftsvorfalls;001;Unternehmen
ST_AusloeserDesGeschaeftsvorfalls;002;Vertragspartner
ST_AusloeserDesGeschaeftsvorfalls;003;Versicherte Person
ST_AusloeserDesGeschaeftsvorfalls;004;Vermittler
ST_AusloeserDesGeschaeftsvorfalls;005;Beitragszahler
ST_AusloeserDesGeschaeftsvorfalls;006;Gläubiger
ST_AusloeserDesGeschaeftsvorfalls;007;wirtschaftlich Berechtigter
ST_AusloeserDesGeschaeftsvorfalls;008;Postempfänger
ST_AusloeserDesGeschaeftsvorfalls;009;Bezugsberechtigter
ST_AusloeserDesGeschaeftsvorfalls;010;Leistungsempfänger
ST_AusloesungDerLeistung;1;Tod
ST_AusloesungDerLeistung;2;Endalter
ST_AusloesungDerLeistung;3;Beitragsrückgewähr
ST_AusloesungDerLeistung;4;Rückkauf
ST_AusloesungDerLeistung;5;BU/EU
ST_AusloesungDerLeistung;6;Unfall
ST_AusloesungDerLeistung;7;Krankheit (DD)
ST_AusloesungDerLeistung;8;Pflegefall
ST_Ausweistyp;1;Personalausweis
ST_Ausweistyp;2;Reisepass
ST_Ausweistyp;3;Kinderausweis mit Lichtild
ST_Ausweistyp;4;Geburtsurkunde (nur bei Kindern)
ST_Ausweistyp;5;Dienst-, Ministerial- oder Diplomatenpass
ST_Ausweistyp;6;Aufenthaltsgestattung gemäß §63 Asylverfahrensgesetz
ST_Ausweistyp;7;Bescheinigung über Aufenthaltsgenehmigung oder Duldung nach §39 Abs.1 AuslG
ST_Ausweistyp;8;Reisedokument gemäß §39 Abs.2 AuslG (§14 Abs.1 Nr.1 DV AuslG)
ST_Ausweistyp;9;Reiseausweis als Passersatz gemäß §39 Abs.2 AuslG (§14 Abs.1 Nr.3 DV AuslG)
ST_Ausweistyp;10;Reiseausweis für Flüchtlinge gemäß §39 Abs.2 AuslG (§14 Abs.2 Nr.1 DV AuslG)
ST_Ausweistyp;11;Reiseausweis für Staatenlose gemäß §39 Abs.2 AuslG (§14 Abs.2 Nr.2 DV AuslG)
ST_Ausweistyp;12;Ausweis für Mitglieder und Bedienstete der Organe der Europäischen Gemeinschaften (§14 Abs.2 Nr.3 DV AuslG)
ST_Ausweistyp;13;Ausweis für Abgeordnete der Parlamentarischen Versammlung des Europarates (§14 Abs.2 Nr.4 DV AuslG)
ST_Ausweistyp;14;Geneva Convention Identification Card
ST_BasisDerWerbeerlaubnis;01;Beim Vermittler im Antrag erteilt.
ST_BasisDerWerbeerlaubnis;02;Beim Unternehmen während der Vertragslaufzeit erteilt.
ST_BasisDerWerbeerlaubnis;03;Beim Vermittler während der Vertragslaufzeit erteilt.
ST_BasisDerWerbeerlaubnis;04;Widerruf innerhalb der Widerrufsfrist.
ST_BasisDerWerbeerlaubnis;05;Werbeverbotsliste (z.B. Robinson)
ST_Bauartklasse;0;sonstiges / nicht aufgeteilt / Sachen im Freien
ST_Bauartklasse;1;Bauartklasse I
ST_Bauartklasse;2;Bauartklasse II
ST_Bauartklasse;3;Bauartklasse III
ST_Bauartklasse;4;Bauartklasse IV
ST_Bauartklasse;5;Bauartklasse V
ST_Bauartklasse;6;Fertighausgruppe 1
ST_Bauartklasse;7;Fertighausgruppe 2
ST_Bauartklasse;8;Fertighausgruppe 3
ST_BedingungUebergabeform;00;keine Angabe
ST_BedingungUebergabeform;01;Original-Druckstück
ST_BedingungUebergabeform;02;Ausdruck
ST_BedingungUebergabeform;03;E-Mail
ST_BedingungUebergabeform;04;Download
ST_BedingungUebergabeform;05;Datenträger
ST_BedingungUebergabeform;06;vom Kunden nicht gewünscht
ST_BedingungUebergabeform;07;Aushändigung nicht erfolgt
ST_BedingungUebergabeform;08;Kundeninformations-CD
ST_Befestigung;01;lose
ST_Befestigung;02;fest verbunden (z.B. vollständig verklebt)
